City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
14,Ushuaia,AR,49.66,-54.8,-68.3,Albatross Hotel
23,Rikitea,PF,78.24,-23.1203,-134.9692,People ThankYou
27,Butaritari,KI,81.86,3.0707,172.7902,Isles Sunset Lodge
29,Kapaa,US,77.32,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Palmer,US,70.77,42.1584,-72.3287,Wedgewood Motel
32,Castro,BR,69.42,-24.7911,-50.0119,CHACARA BAILLY
39,Luderitz,,66.85,-26.6481,15.1594,LÜDERITZ NEST HOTEL
41,Port Hardy,CA,46.4,50.6996,-127.4199,Airport Inn-Port Hardy
47,Sambava,MG,76.17,-14.2667,50.1667,Melrose
48,Dawei,MM,77.13,14.0833,98.2,Hotel Dawei
50,Hambantota,LK,77.34,6.1241,81.1185,Bungalow 63
52,Hobart,AU,57.06,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
56,Muisne,EC,79.52,0.6,-80.0333,Quinta Samay
58,Jalu,LY,79.32,29.0331,21.5482,صاحبة الفخامة
59,Hilo,US,77.29,19.7297,-155.09,Hilo Hawaiian Hotel
60,Cabo San Lucas,MX,82.62,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Georgetown,MY,82.33,5.4112,100.3354,Cititel Penang
63,Saint George,US,79.63,37.1041,-113.5841,Best Western Plus Abbey Inn
71,Isangel,VU,73.51,-19.55,169.2667,Tanna Lodge
72,Port Alfred,ZA,71.55,-33.5906,26.891,The Halyards Hotel
74,Arraial Do Cabo,BR,78.76,-22.9661,-42.0278,Pousada Porto Praia
75,Yokadouma,CM,71.64,3.5167,15.05,Hôtel De Ville De Yokadouma
76,Nador,MA,68.07,35.174,-2.9287,Hôtel La Giralda
77,Hays,US,86.95,30.0502,-98.0336,Sinya on Lone Man Creek
81,Mahebourg,MU,77.29,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Gat,IL,65.08,31.61,34.7642,OlusHome
86,Mori,JP,58.44,34.8333,137.9333,YAMAHA Resort Hotel Katsuragi Kitanomaru
87,Nacala,MZ,73.09,-14.5428,40.6728,Nacala Plaza Business Design Hotel
89,Guerrero Negro,MX,69.73,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
94,Along,IN,67.51,28.1667,94.7667,Hotel West
95,San Patricio,US,86.88,28.017,-97.5169,"Motel 6 Sinton, TX"
97,Roma,US,65.95,43.2128,-75.4557,Wingate By Wyndham Rome
99,Pisco,PE,70.02,-13.7,-76.2167,Hotel San Isidro Oficial
101,Porto Empedocle,IT,69.24,37.2934,13.5264,Hotel dei Pini
105,Copiapo,CL,62.29,-27.3667,-70.3333,Antay Casino Hotel
107,Pa Sang,TH,81.86,18.5262,98.9394,โรงแรม จามจุรี 99
109,Katsuura,JP,63.52,35.1333,140.3,Katsuura Hotel Mikazuki
110,Shenjiamen,CN,62.49,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
114,Bethel,US,72.19,41.3712,-73.414,Courtyard by Marriott Danbury
115,Kaitangata,NZ,53.74,-46.2817,169.8464,Kaitangata Motor Camp
117,Mar Del Plata,AR,70.88,-38.0023,-57.5575,Gran Hotel Mar del Plata
118,Yeppoon,AU,71.38,-23.1333,150.7333,Villa Mar Colina
122,Nabire,ID,77.34,-3.3667,135.4833,Hotel Nusantara I
123,Kismayo,SO,80.02,-0.3582,42.5454,Agan-Hotel
125,Kieta,PG,80.11,-6.2167,155.6333,Uruna Bay Retreat
126,Baza,ES,65.57,37.4907,-2.7726,Pensión Ronda
129,Iquique,CL,66.24,-20.2208,-70.1431,Backpacker`s Hostel Iquique
131,Kuruman,ZA,64.18,-27.4524,23.4325,Cornerstone Guest House
134,Morondava,MG,78.62,-20.2833,44.2833,La Case Bambou
135,Lata,PT,69.82,40.1629,-8.3327,Casa Maquia
136,Quatre Cocos,MU,77.11,-20.2078,57.7625,Sunrise Attitude Hotel
140,Kaoma,ZM,64.04,-14.7833,24.8,KAOMA AIRPORT
141,Ulladulla,AU,49.1,-35.35,150.4667,Sandpiper Motel
142,Xixiang,CN,69.94,35.1628,112.865,Hongchang Rest House
143,Ahipara,NZ,58.01,-35.1667,173.1667,Ahipara Holiday Park
144,Kenai,US,50.02,60.5544,-151.2583,Aspen Extended Stay Suites
145,East London,ZA,72.54,-33.0153,27.9116,Tu Casa
147,Jieshi,CN,76.95,22.8134,115.8257,Yuehai Hotel
151,Hamilton,US,63.99,39.1834,-84.5333,Six Acres Bed & Breakfast
152,Constantine,DZ,56.61,36.365,6.6147,Grand Hotel Cirta
153,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
155,Kumluca,TR,63.9,36.3703,30.2869,Akkol Apart
157,Brasileia,BR,82.85,-11.0161,-68.7481,Pousada Tobias
158,Auki,SB,76.46,-8.7676,160.7034,Auki Motel
161,Cidreira,BR,67.59,-30.1811,-50.2056,Hotel Castelo
162,Fort Nelson,CA,51.39,58.8053,-122.7002,The Fort Nelson Hotel
