City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,0,Port Alfred,ZA,2022-04-28 03:12:39,-33.5906,26.891,60.48,66,0,7.27
1,1,Ushuaia,AR,2022-04-28 03:10:14,-54.8,-68.3,33.46,75,75,19.57
2,2,Constitucion,CL,2022-04-28 03:12:39,-35.3333,-72.4167,50.63,84,35,4.63
3,3,Bengkulu,ID,2022-04-28 03:12:39,-3.8004,102.2655,82.85,72,90,1.99
4,4,Blagoyevo,RU,2022-04-28 03:12:40,63.3667,47.9167,20.14,82,15,6.49
5,5,Tual,ID,2022-04-28 03:12:40,-5.6667,132.75,85.17,71,100,13.02
6,6,Geraldton,AU,2022-04-28 03:12:40,-28.7667,114.6,70.21,68,76,3.44
7,7,Punta Arenas,CL,2022-04-28 03:10:14,-53.15,-70.9167,33.91,60,20,12.66
8,8,Prince Rupert,CA,2022-04-28 03:12:41,54.3161,-130.3201,44.69,87,100,4.61
9,9,Kirakira,SB,2022-04-28 03:12:41,-10.4544,161.9205,83.73,77,43,6.49
10,10,Mataura,NZ,2022-04-28 03:12:41,-46.1927,168.8643,55.47,64,65,2.77
11,11,Rikitea,PF,2022-04-28 03:06:55,-23.1203,-134.9692,77.54,65,0,21.23
12,12,Aksarka,RU,2022-04-28 03:12:42,66.5606,67.7975,22.15,82,100,5.79
13,13,Asau,RO,2022-04-28 03:12:42,46.4333,26.4,49.95,100,100,2.95
14,14,Hithadhoo,MV,2022-04-28 03:10:21,-0.6,73.0833,83.61,72,100,5.84
15,15,Kapaa,US,2022-04-28 03:10:13,22.0752,-159.319,80.58,85,40,12.66
16,16,Hermanus,ZA,2022-04-28 03:10:23,-34.4187,19.2345,57.29,73,0,7.52
17,17,Dukat,RU,2022-04-28 03:12:42,62.55,155.55,24.06,89,100,9.82
18,18,Barrow,US,2022-04-28 03:10:15,71.2906,-156.7887,6.82,85,100,17.27
19,19,Albany,US,2022-04-28 03:10:20,42.6001,-73.9662,38.55,66,17,3.0
20,20,Georgetown,MY,2022-04-28 03:12:05,5.4112,100.3354,89.53,74,20,8.05
21,21,Busselton,AU,2022-04-28 03:12:43,-33.65,115.3333,62.69,60,80,13.94
22,22,Cape Town,ZA,2022-04-28 03:12:43,-33.9258,18.4232,59.92,87,0,13.0
23,23,Dalkola,IN,2022-04-28 03:12:44,25.85,87.85,87.35,50,0,15.26
24,24,Ayan,RU,2022-04-28 03:12:44,56.45,138.1667,36.72,61,100,15.77
25,25,Kaitangata,NZ,2022-04-28 03:10:25,-46.2817,169.8464,57.45,63,63,3.56
26,26,Yellowknife,CA,2022-04-28 03:08:25,62.456,-114.3525,40.91,82,25,10.4
27,27,Yaguajay,CU,2022-04-28 03:12:44,22.3272,-79.2378,72.86,74,54,10.78
28,28,Hobart,AU,2022-04-28 03:11:51,-42.8794,147.3294,70.23,80,75,8.05
29,29,Belaya Gora,RU,2022-04-28 03:12:45,68.5333,146.4167,19.63,82,100,6.6
30,30,Dikson,RU,2022-04-28 03:12:45,73.5069,80.5464,18.88,89,68,23.76
31,31,Yerbogachen,RU,2022-04-28 03:12:45,61.2767,108.0108,37.74,58,59,4.9
32,32,Conceicao Do Araguaia,BR,2022-04-28 03:12:46,-8.2578,-49.2647,75.65,79,100,0.49
33,33,Jamestown,US,2022-04-28 03:12:46,42.097,-79.2353,31.59,83,100,9.22
34,34,Palu,ID,2022-04-28 03:12:46,-0.8917,119.8707,91.45,54,88,3.49
35,35,Comodoro Rivadavia,AR,2022-04-28 03:12:46,-45.8667,-67.5,40.86,52,0,9.22
36,36,Padang,ID,2022-04-28 03:12:46,-0.9492,100.3543,82.45,67,86,2.39
37,37,Tautira,PF,2022-04-28 03:12:47,-17.7333,-149.15,81.21,74,24,21.14
38,38,Saskylakh,RU,2022-04-28 03:12:47,71.9167,114.0833,16.07,89,53,6.96
39,39,Cukai,MY,2022-04-28 03:12:48,4.25,103.4167,86.7,67,75,3.31
40,40,Plettenberg Bay,ZA,2022-04-28 03:12:48,-34.0527,23.3716,60.31,41,1,4.45
41,41,New Norfolk,AU,2022-04-28 03:10:22,-42.7826,147.0587,69.89,81,60,3.0
42,42,Chokurdakh,RU,2022-04-28 03:12:48,70.6333,147.9167,16.95,90,100,8.5
