City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lavrentiya,RU,2022-05-05 18:25:06,65.5833,-171.0,14.77,90,40,4.38
1,Anuradhapura,LK,2022-05-05 18:25:06,8.3565,80.4173,77.52,96,99,6.55
2,Cape Town,ZA,2022-05-05 18:23:58,-33.9258,18.4232,60.12,89,20,5.75
3,Krasnouralsk,RU,2022-05-05 18:25:07,58.3638,60.0407,36.43,97,100,14.63
4,Mount Isa,AU,2022-05-05 18:25:07,-20.7333,139.5,58.77,41,99,14.97
5,Kahului,US,2022-05-05 18:25:08,20.8947,-156.47,75.85,80,100,13.8
6,Kang,BW,2022-05-05 18:25:08,-23.6752,22.7876,65.73,36,5,4.59
7,Mataura,NZ,2022-05-05 18:20:42,-46.1927,168.8643,52.48,90,80,2.95
8,Clyde River,CA,2022-05-05 18:25:09,70.4692,-68.5914,26.83,74,0,10.36
9,Sao Jose Da Coroa Grande,BR,2022-05-05 18:25:10,-8.8978,-35.1478,82.24,76,95,9.98
10,Vardo,NO,2022-05-05 18:25:10,70.3705,31.1107,35.58,64,0,19.57
11,Hithadhoo,MV,2022-05-05 18:22:14,-0.6,73.0833,83.84,74,100,17.11
12,Bonthe,SL,2022-05-05 18:25:11,7.5264,-12.505,84.16,69,81,5.46
13,Qasigiannguit,GL,2022-05-05 18:25:11,68.8193,-51.1922,25.05,68,1,5.17
14,Ushuaia,AR,2022-05-05 18:25:12,-54.8,-68.3,49.66,46,40,18.41
15,Malakal,SS,2022-05-05 18:25:12,9.5334,31.6605,90.7,38,63,1.5
16,Atuona,PF,2022-05-05 18:25:13,-9.8,-139.0333,78.49,75,83,14.76
17,Hermanus,ZA,2022-05-05 18:25:13,-34.4187,19.2345,59.81,92,13,8.86
18,Busselton,AU,2022-05-05 18:25:14,-33.65,115.3333,55.56,58,0,15.19
19,Bambous Virieux,MU,2022-05-05 18:25:14,-20.3428,57.7575,77.25,83,75,19.57
20,Wabash,US,2022-05-05 18:20:18,40.7978,-85.8205,56.71,89,100,9.51
21,Ribeira Grande,PT,2022-05-05 18:25:15,38.5167,-28.7,64.8,88,75,11.5
22,Bluff,NZ,2022-05-05 18:25:15,-46.6,168.3333,52.81,87,41,5.66
23,Rikitea,PF,2022-05-05 18:25:16,-23.1203,-134.9692,78.24,85,38,14.63
24,Kodiak,US,2022-05-05 18:25:17,57.79,-152.4072,42.31,81,100,12.66
25,Kruisfontein,ZA,2022-05-05 18:25:17,-34.0033,24.7314,62.6,67,11,1.92
26,New Norfolk,AU,2022-05-05 18:25:18,-42.7826,147.0587,56.7,86,100,7.0
27,Butaritari,KI,2022-05-05 18:25:18,3.0707,172.7902,81.86,68,79,17.4
28,Punta Arenas,CL,2022-05-05 18:23:26,-53.15,-70.9167,50.11,57,75,29.93
29,Kapaa,US,2022-05-05 18:21:09,22.0752,-159.319,77.32,80,40,16.11
30,Palmer,US,2022-05-05 18:25:19,42.1584,-72.3287,70.77,34,75,6.91
31,Brae,GB,2022-05-05 18:25:20,60.3964,-1.353,49.46,96,100,17.36
32,Castro,BR,2022-05-05 18:23:32,-24.7911,-50.0119,69.42,56,26,2.19
33,Fortuna,US,2022-05-05 18:25:20,40.5982,-124.1573,52.66,94,40,18.41
34,Khatanga,RU,2022-05-05 18:25:21,71.9667,102.5,30.4,98,100,10.31
35,Warren,US,2022-05-05 18:22:17,39.4334,-84.1666,62.94,74,75,6.91
36,Geraldton,AU,2022-05-05 18:25:21,-28.7667,114.6,61.21,41,0,13.8
37,Andrews,US,2022-05-05 18:22:16,32.3187,-102.5457,75.27,20,0,14.97
38,Souillac,MU,2022-05-05 18:25:22,-20.5167,57.5167,77.38,83,75,19.57
39,Luderitz,NA,2022-05-05 18:25:22,-26.6481,15.1594,66.85,54,0,7.25
40,Chuy,UY,2022-05-05 18:25:23,-33.6971,-53.4616,67.26,55,22,4.34
41,Port Hardy,CA,2022-05-05 18:25:23,50.6996,-127.4199,46.4,93,100,4.61
42,Te Anau,NZ,2022-05-05 18:25:24,-45.4167,167.7167,49.84,93,31,1.86
43,Rawlins,US,2022-05-05 18:22:41,41.7911,-107.2387,55.35,54,20,18.41
44,Nome,US,2022-05-05 18:23:55,64.5011,-165.4064,36.16,86,0,4.61
45,Albany,US,2022-05-05 18:25:25,42.6001,-73.9662,66.45,44,71,1.01
46,Mayor Pablo Lagerenza,PY,2022-05-05 18:26:25,-19.9309,-60.7718,83.35,17,0,4.14
47,Sambava,MG,2022-05-05 18:26:25,-14.2667,50.1667,76.17,83,15,14.03
48,Dawei,MM,2022-05-05 18:26:26,14.0833,98.2,77.13,85,84,3.47
49,Vaini,TO,2022-05-05 18:26:26,-21.2,-175.2,69.96,94,20,1.14
50,Hambantota,LK,2022-05-05 18:26:27,6.1241,81.1185,77.34,100,40,8.05
51,Rio Grande,BR,2022-05-05 18:26:27,-32.035,-52.0986,77.11,58,2,5.73
52,Hobart,AU,2022-05-05 18:26:28,-42.8794,147.3294,57.06,95,100,23.02
53,Tasiilaq,GL,2022-05-05 18:26:28,65.6145,-37.6368,28.56,63,2,2.95
54,Nikolskoye,RU,2022-05-05 18:26:29,59.7035,30.7861,49.8,56,100,5.1
55,Dikson,RU,2022-05-05 18:24:24,73.5069,80.5464,15.93,98,99,5.01
56,Muisne,EC,2022-05-05 18:26:29,0.6,-80.0333,79.52,75,97,14.09
57,Jamestown,US,2022-05-05 18:26:30,42.097,-79.2353,64.53,60,0,9.22
58,Jalu,LY,2022-05-05 18:26:30,29.0331,21.5482,79.32,19,34,9.08
59,Hilo,US,2022-05-05 18:25:47,19.7297,-155.09,77.29,96,100,1.99
60,Cabo San Lucas,MX,2022-05-05 18:23:35,22.8909,-109.9124,82.62,54,0,3.44
61,Georgetown,MY,2022-05-05 18:23:56,5.4112,100.3354,82.33,88,20,3.44
62,Porto Novo,BJ,2022-05-05 18:26:31,6.4965,2.6036,82.22,76,85,7.76
63,Saint George,US,2022-05-05 18:23:25,37.1041,-113.5841,79.63,20,0,6.91
64,Saskylakh,RU,2022-05-05 18:25:41,71.9167,114.0833,18.48,95,64,8.63
65,Tiksi,RU,2022-05-05 18:26:32,71.6872,128.8694,1.4,100,93,6.13
66,Dunedin,NZ,2022-05-05 18:21:36,-45.8742,170.5036,54.81,71,41,1.99
67,Basoko,CD,2022-05-05 18:26:32,1.2391,23.616,74.84,86,92,5.23
68,Touros,BR,2022-05-05 18:26:33,-5.1989,-35.4608,77.32,91,96,14.81
69,Lebu,CL,2022-05-05 18:26:33,-37.6167,-73.65,58.64,78,41,6.93
70,Puerto Ayora,EC,2022-05-05 18:26:33,-0.7393,-90.3518,76.96,87,97,7.25
71,Isangel,VU,2022-05-05 18:26:34,-19.55,169.2667,73.51,88,2,4.61
72,Port Alfred,ZA,2022-05-05 18:26:34,-33.5906,26.891,71.55,62,2,5.01
73,Talnakh,RU,2022-05-05 18:26:35,69.4865,88.3972,16.21,96,96,6.4
74,Arraial Do Cabo,BR,2022-05-05 18:26:35,-22.9661,-42.0278,78.76,61,40,12.66
75,Yokadouma,CM,2022-05-05 18:26:36,3.5167,15.05,71.64,97,98,2.93
76,Nador,MA,2022-05-05 18:26:36,35.174,-2.9287,68.07,68,20,4.61
77,Hays,US,2022-05-05 18:26:37,30.0502,-98.0336,86.95,65,100,5.99
78,Saint-Philippe,RE,2022-05-05 18:26:37,-21.3585,55.7679,76.59,87,69,16.55
79,Longyearbyen,SJ,2022-05-05 18:24:10,78.2186,15.6401,22.84,68,75,5.75
80,Yellowknife,CA,2022-05-05 18:25:54,62.456,-114.3525,48.72,61,20,8.05
81,Mahebourg,MU,2022-05-05 18:26:38,-20.4081,57.7,77.29,83,75,19.57
82,Erzin,TR,2022-05-05 18:26:38,36.9559,36.2,57.81,86,100,2.73
83,Tuktoyaktuk,CA,2022-05-05 18:26:39,69.4541,-133.0374,24.8,93,100,18.41
84,Siparia,TT,2022-05-05 18:26:39,10.1333,-61.5,86.79,73,100,4.0
85,Gat,IL,2022-05-05 18:26:40,31.61,34.7642,65.08,100,3,12.08
86,Mori,JP,2022-05-05 18:26:40,34.8333,137.9333,58.44,80,97,4.0
87,Nacala,MZ,2022-05-05 18:26:41,-14.5428,40.6728,73.09,86,30,6.4
88,Bilibino,RU,2022-05-05 18:26:41,68.0546,166.4372,29.93,98,100,1.45
89,Guerrero Negro,MX,2022-05-05 18:26:42,27.9769,-114.0611,69.73,60,4,10.8
90,Kassala,SD,2022-05-05 18:26:42,15.451,36.4,99.39,19,23,8.14
91,Port Elizabeth,ZA,2022-05-05 18:27:43,-33.918,25.5701,62.31,73,0,2.3
92,Thinadhoo,MV,2022-05-05 18:26:09,0.5333,72.9333,83.91,74,100,12.75
93,Port Hedland,AU,2022-05-05 18:27:44,-20.3167,118.5667,73.45,40,15,11.5
94,Along,IN,2022-05-05 18:27:44,28.1667,94.7667,67.51,92,29,1.7
95,San Patricio,US,2022-05-05 18:27:45,28.017,-97.5169,86.88,60,39,19.6
96,Severo-Kurilsk,RU,2022-05-05 18:27:45,50.6789,156.125,33.04,89,35,9.48
97,Roma,US,2022-05-05 18:27:45,43.2128,-75.4557,65.95,41,0,6.91
98,Port Lincoln,AU,2022-05-05 18:24:56,-34.7333,135.8667,56.48,57,80,13.13
99,Pisco,PE,2022-05-05 18:27:46,-13.7,-76.2167,70.02,83,4,11.5
100,Thompson,CA,2022-05-05 18:25:36,55.7435,-97.8558,37.56,65,100,10.36
101,Porto Empedocle,IT,2022-05-05 18:27:46,37.2934,13.5264,69.24,42,64,30.91
102,Sao Joao Da Barra,BR,2022-05-05 18:27:47,-21.6403,-41.0511,77.09,73,74,5.12
103,Neiafu,TO,2022-05-05 18:27:47,-18.65,-173.9833,68.68,100,20,0.0
104,Strezhevoy,RU,2022-05-05 18:27:48,60.7333,77.5889,40.51,90,100,8.72
105,Copiapo,CL,2022-05-05 18:27:48,-27.3667,-70.3333,62.29,38,92,6.78
106,Lusaka,ZM,2022-05-05 18:27:49,-15.4067,28.2871,61.38,74,11,5.44
107,Pa Sang,TH,2022-05-05 18:27:49,18.5262,98.9394,81.86,64,39,0.96
108,Saint-Louis,SN,2022-05-05 18:27:50,16.3333,-15.0,107.24,13,3,8.1
109,Katsuura,JP,2022-05-05 18:27:50,35.1333,140.3,63.52,82,100,7.94
110,Shenjiamen,CN,2022-05-05 18:27:50,29.9576,122.298,62.49,99,38,5.93
111,Husavik,IS,2022-05-05 18:25:45,66.0449,-17.3389,39.15,77,73,9.46
112,Artigas,UY,2022-05-05 18:27:51,-30.4,-56.4667,69.37,63,10,3.2
113,Deputatskiy,RU,2022-05-05 18:27:51,69.3,139.9,18.16,97,100,1.36
114,Bethel,US,2022-05-05 18:27:52,41.3712,-73.414,72.19,37,0,8.05
115,Kaitangata,NZ,2022-05-05 18:27:52,-46.2817,169.8464,53.74,81,73,4.29
116,Churapcha,RU,2022-05-05 18:27:53,62.0025,132.4325,31.03,89,100,12.71
