City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,78.93,74,22,14.32,Clouds
1,Geraldton,AU,-28.7667,114.6,57.61,51,0,16.11,Clear
2,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,73,0,6.91,Clear
3,Jacareacanga,BR,-6.2222,-57.7528,75.27,95,56,2.84,Rain
4,Hobart,AU,-42.8794,147.3294,52.02,87,75,10.36,Clouds
5,Nikolskoye,RU,59.7035,30.7861,49.89,97,18,5.59,Clouds
6,Yulara,AU,-25.2406,130.9889,48.04,57,0,9.22,Clear
7,Tasiilaq,GL,65.6145,-37.6368,26.76,66,8,4.05,Clear
8,Kruisfontein,ZA,-34.0033,24.7314,59.81,83,96,11.14,Clouds
9,Upata,VE,8.0086,-62.3989,75.2,88,90,6.29,Clouds
10,Qaanaaq,GL,77.484,-69.3632,17.13,85,100,5.86,Clouds
11,Kapaa,US,22.0752,-159.319,82.38,80,40,16.11,Clouds
12,Corinto,GR,37.9407,22.9573,59.9,71,86,3.87,Clouds
13,Merauke,ID,-8.4667,140.3333,79.56,87,59,12.95,Clouds
14,Rikitea,PF,-23.1203,-134.9692,77.43,85,87,14.85,Rain
15,Bluff,NZ,-46.6,168.3333,57.79,81,99,9.69,Clouds
16,Busselton,AU,-33.65,115.3333,55.36,61,0,7.74,Clear
17,Yellowknife,CA,62.456,-114.3525,54.12,50,75,21.85,Clouds
18,Mahibadhoo,MV,3.7833,72.9667,84.18,75,49,12.01,Clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,8.05,Snow
20,Necochea,AR,-38.5473,-58.7368,57.09,75,23,5.03,Clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,74.73,85,99,9.22,Clouds
22,San Patricio,US,28.017,-97.5169,93.92,57,1,17.27,Clear
23,Portland,US,45.5234,-122.6762,60.84,85,75,8.05,Rain
24,Yantal,RU,56.8471,105.2542,41.58,60,63,5.01,Clouds
25,Belaya Gora,RU,68.5333,146.4167,27.93,92,95,1.32,Clouds
26,Khatanga,RU,71.9667,102.5,11.95,89,100,19.24,Clouds
27,Bambous Virieux,MU,-20.3428,57.7575,75.45,64,20,9.22,Clouds
28,Pangnirtung,CA,66.1451,-65.7125,13.93,98,97,1.54,Clouds
29,Perry,US,37.2506,-83.1999,61.52,94,98,4.59,Rain
30,Cape Town,ZA,-33.9258,18.4232,57.61,89,75,17.27,Clouds
31,Fort Frances,CA,48.5999,-93.4003,73.17,27,0,12.66,Clear
32,Ushuaia,AR,-54.8,-68.3,44.26,61,40,14.97,Clouds
33,Mataura,NZ,-46.1927,168.8643,57.47,71,98,3.53,Clouds
34,Kenai,US,60.5544,-151.2583,56.03,57,40,11.5,Clouds
35,Soria,ES,41.6667,-2.6667,46.85,94,0,3.62,Clear
36,Bethel,US,41.3712,-73.414,54.91,90,100,5.26,Rain
37,Isangel,VU,-19.55,169.2667,78.6,69,58,16.44,Clouds
38,Tokur,RU,53.1333,132.9,31.19,94,100,0.56,Snow
39,Charters Towers,AU,-20.1,146.2667,76.03,72,26,7.96,Clouds
40,Hilo,US,19.7297,-155.09,82.27,88,100,8.05,Rain
41,East London,ZA,-33.0153,27.9116,67.73,77,96,12.75,Clouds
42,Tiksi,RU,71.6872,128.8694,18.7,86,98,22.17,Clouds
43,Sinegorye,RU,62.0788,150.477,26.69,86,72,4.92,Clouds
44,Juneau,US,58.3019,-134.4197,46.98,91,75,10.36,Rain
45,Sangar,RU,63.9242,127.4739,28.67,88,76,1.28,Clouds
46,Ponta Do Sol,PT,32.6667,-17.1,68.63,58,60,4.27,Clouds
47,Port Alfred,ZA,-33.5906,26.891,64.18,85,92,1.99,Clouds
48,Esmeraldas,BR,-19.7625,-44.3139,72.46,75,62,5.1,Clouds
